скважина;ствол;название_залежи;месяц;год;закачка_воды_технологическая_м3;приемистость_тех__расчетная;закачка_технологическая_с_начала_эксплуатации_м3;время_работы_с_начала_эксплуатации_сут
910;1;Бобриковский горизонт;5;1987;0;0;9225;134
910;1;Бобриковский горизонт;6;1987;0;0;9225;134
910;1;Бобриковский горизонт;7;1987;0;0;9225;134
910;1;Бобриковский горизонт;8;1987;0;0;9225;134
910;1;Бобриковский горизонт;9;1987;0;0;9225;134
910;1;Бобриковский горизонт;10;1987;0;0;9225;134
910;1;Бобриковский горизонт;11;1987;0;0;9225;134
910;1;Бобриковский горизонт;12;1987;0;0;9225;134
927;1;Бобриковский горизонт;1;1987;8617;278;11459;62
927;1;Бобриковский горизонт;2;1987;10461;374;21920;90
927;1;Бобриковский горизонт;3;1987;10427;336;32347;121
927;1;Бобриковский горизонт;4;1987;4824;161;37171;151
927;1;Бобриковский горизонт;5;1987;4985;161;42156;182
927;1;Бобриковский горизонт;6;1987;10131;338;52287;212
927;1;Бобриковский горизонт;7;1987;10519;339;62806;243
927;1;Бобриковский горизонт;8;1987;11448;369;74254;274
927;1;Бобриковский горизонт;9;1987;11058;369;85312;304
927;1;Бобриковский горизонт;10;1987;12759;412;98071;335
927;1;Бобриковский горизонт;11;1987;11712;390;109783;365
927;1;Бобриковский горизонт;12;1987;12307;397;122090;396
779;1;Турнейский пласт Т1;1;1987;2004;65;5529;156
779;1;Турнейский пласт Т1;2;1987;1696;61;7225;184
779;1;Турнейский пласт Т1;3;1987;1691;55;8916;215
779;1;Турнейский пласт Т1;4;1987;782;26;9698;245
779;1;Турнейский пласт Т1;5;1987;808;26;10506;276
779;1;Турнейский пласт Т1;6;1987;1643;55;12149;306
779;1;Турнейский пласт Т1;7;1987;1698;55;13847;337
779;1;Турнейский пласт Т1;8;1987;1848;60;15695;368
779;1;Турнейский пласт Т1;9;1987;1785;60;17480;398
779;1;Турнейский пласт Т1;10;1987;2060;66;19540;429
779;1;Турнейский пласт Т1;11;1987;1891;63;21431;459
779;1;Турнейский пласт Т1;12;1987;1987;64;23418;490
937;1;Тульский пласт Тл2а;1;1988;323;10;9937;568
937;1;Тульский пласт Тл2а;2;1988;323;11;10260;597
937;1;Тульский пласт Тл2а;3;1988;410;13;10670;628
937;1;Тульский пласт Тл2а;4;1988;243;8;10913;658
937;1;Тульский пласт Тл2а;5;1988;216;7;11129;689
937;1;Тульский пласт Тл2а;6;1988;425;14;11554;719
937;1;Тульский пласт Тл2а;7;1988;444;14;11998;750
937;1;Тульский пласт Тл2а;8;1988;434;14;12432;781
937;1;Тульский пласт Тл2а;9;1988;417;14;12849;811
937;1;Тульский пласт Тл2а;10;1988;473;15;13322;842
937;1;Тульский пласт Тл2а;11;1988;416;14;13738;872
937;1;Тульский пласт Тл2а;12;1988;426;14;14164;903
910;1;Тульский пласт Тл2а;1;1988;0;0;520;134
910;1;Тульский пласт Тл2а;2;1988;0;0;520;134
910;1;Тульский пласт Тл2а;3;1988;0;0;520;134
910;1;Тульский пласт Тл2а;4;1988;8;8;528;135
910;1;Тульский пласт Тл2а;5;1988;216;7;744;166
910;1;Тульский пласт Тл2а;6;1988;424;14;1168;196
910;1;Тульский пласт Тл2а;7;1988;279;9;1447;227
910;1;Тульский пласт Тл2а;8;1988;273;9;1720;258
910;1;Тульский пласт Тл2а;9;1988;262;9;1982;288
910;1;Тульский пласт Тл2а;10;1988;297;10;2279;319
910;1;Тульский пласт Тл2а;11;1988;261;9;2540;349
910;1;Тульский пласт Тл2а;12;1988;268;9;2808;380
918;1;Тульский пласт Тл2а;9;1988;2;2;2;1
918;1;Тульский пласт Тл2а;10;1988;73;2;75;32
918;1;Тульский пласт Тл2а;11;1988;65;2;140;62
918;1;Тульский пласт Тл2а;12;1988;66;2;206;93
927;1;Тульский пласт Тл2а;1;1988;437;14;23291;521
927;1;Тульский пласт Тл2а;2;1988;436;15;23727;550
927;1;Тульский пласт Тл2а;3;1988;553;18;24280;581
